编号    书名                 作者               出版社                         状态
1      Database_Systems    Elmasri             Pearson                       1     
2      Operating_Systems   Tanenbaum           Pearson                       1     
3      Computer_Networks   Tanenbaum           PrenticeHall                  0     
4      Database_Systems    Elmasri             Pearson                       1     
5      Operating_Systems   Tanenbaum           Pearson                       1     
6      Computer_Networks   Tanenbaum           PrenticeHall                  0     
7      Database_Systems    Elmasri             Pearson                       1     
8      Operating_Systems   Tanenbaum           Pearson                       1     
9      Computer_Networks   Tanenbaum           PrenticeHall                  0     
10     Database_Systems    Elmasri             Pearson                       1     
11     Operating_Systems   Tanenbaum           Pearson                       1     
12     Computer_Networks   Tanenbaum           PrenticeHall                  0     
